 entidad,pobreza_porcentaje,pobreza_personas,pobreza_promedio,pobreza_mod_porcentaje,pobreza_mod_personas,pobreza_mod_promedio,pobreza_ex_porcentaje,pobreza_ex_personas,pobreza_ex_promedio,sociales_porcentaje,sociales_personas,sociales_promedio,ingresos_porcentaje,ingresos_personas,no_vlunerables_porcentaje,no_vulnerables_personas,educativo_porcentaje,educativo__personas,salud_porcentaje,salud__personas,seguridad_social_porcentaje,seguridad_social__personas,calidad_vivienda_porcentaje,calidad_vivienda__personas,servicios_vivienda_porcentaje,servicios_vivienda__personas,alimentacion_porcentaje,alimentacion__personas,bienestar_minimo_porcentaje,bienestar_minimo__personas,bienestar_porcentaje,bienestar__personas,pobreza_profundidad,pobreza_profundidad_1,pobreza_ex_profundidad,pobreza_ex_intensidad,alkire_foster_profundidad,alkire_foster_intensidad,desagregacion_rezago,desagregacion_salud,desagregacion_seguridad,desagregacion_calidad_vivienda,desagregacion_servicios_vivienda,desagregacion_alimentacion,gini,rezago_3_15_porcentaje,rezago_3_15_personas,rezago_16_1981_porcentaje,rezago_16_1981_personas,rezago_16_1982_porcentaje,rezago_16_1982_personas,seguro_popular_porcentaje,seguro_popular_personas,imss_porcentaje,imss_personas,issste_porcentaje,issste_personas,issste_estatal_porcentaje,issste_estatal_personas,pemex_def_marina_porcentaje,pemex_def_marina_personas,seguro_privado_porcentaje,seguro_privado_personas,seguridad_indirecta_porcentaje,seguridad_indirecta_personas,seguridad_otra_porcentaje,seguridad_otra_personas,ocupada_sin_seguridad_porcentaje,ocupada_sin_seguridad_personas,pnea_sin_seguridad_porcentaje,pnea_sin_seguridad_personas,sin_seguridad_65_porcentaje,sin_seguridad_65_personas,pisos_tierra_porcentaje,pisos_tierra_personas,techo_endeble_porcentaje,techo_endeble_personas,muros_endeble_porcentaje,muros_endeble_personas,hacinamiento_poblacion_porcentaje,hacinamiento_personas,sin_agua_porcentaje,sin_agua_personas,sin_drenaje_porcentaje,sin_drenaje_personas,sin_electricidad_porcentaje,sin_electricidad_personas,sin_chimenea_porcentaje,sin_chimenea_personas,seguridad_alimentaria_porcentaje,seguridad_alimentaria_personas,inseguridad_alimentaria_leve_porcentaje,inseguridad_alimentaria_leve_personas,inseguridad_alimentaria_mod_porcentaje,inseguridad_alimentaria__mod_personas,inseguridad_alimentaria_severa_porcentaje,inseguridad_alimentaria_severa_personas
aguascalientes,34.8,442.9,1.7,32.7,416.2,1.6,2.1,26.7,3.4,25.3,322.4,1.5,8.9,113.6,31.0,395.0,14.4,182.8,12.5,159.0,43.2,550.2,3.3,42.2,3.6,45.7,21.6,274.5,12.9,164.4,43.7,556.5,1.7,0.1,3.4,0.01,0.64,0.22,14.3,10.8,42.2,4.3,3.6,24.7,0.486,8.8,29.2,19.9,103.6,14.3,50.0,37.9,483.1,48.8,622.1,7.6,97.1,0.1,1.3,0.2,2.0,1.9,24.4,2.4,31.1,0.4,5.5,44.9,242.6,36.3,111.5,10.2,8.171,0.5,6.4,0.0,0.2,0.6,7.5,2.4,30.2,1.0,13.0,1.4,17.8,0.1,1.4,1.7,22.1,60.6,771.5,17.9,227.9,11.8,150.2,9.8,124.363
baja california,28.6,984.9,2.1,25.5,879.4,1.9,3.1,105.5,3.8,38.3,1319.5,1.8,6.6,226.7,26.5,912.9,15.4,530.8,19.4,666.6,51.8,1785.6,10.6,366.7,12.1,415.6,17.2,591.8,9.7,334.1,35.2,1211.6,2.1,0.1,3.8,0.02,0.67,0.19,12.7,11.4,37.2,10.2,10.4,18.1,0.434,11.9,97.6,18.4,265.0,16.5,168.2,28.1,968.2,44.8,1541.7,3.7,127.3,3.1,108.3,0.3,11.3,1.1,38.9,3.2,111.8,2.2,77.4,57.0,815.8,44.7,412.2,27.6,52.413,2.3,80.7,2.9,99.0,2.0,67.4,5.5,190.4,7.5,257.9,6.5,222.4,0.4,15.1,1.2,40.4,71.6,2465.7,11.2,386.6,9.9,341.9,7.3,249.909
baja california sur,30.3,226.2,2.1,26.3,196.7,1.9,3.9,29.5,3.6,34.4,256.9,1.9,5.6,41.9,29.8,222.6,14.9,111.2,14.2,106.3,46.6,348.6,16.5,123.1,12.4,92.6,24.6,183.7,10.6,79.0,35.9,268.1,2.1,0.11,3.6,0.02,0.68,0.2,9.8,9.7,36.6,13.1,8.5,22.3,0.454,6.7,11.9,18.6,57.6,19.0,41.7,30.3,226.8,46.6,348.2,12.1,90.8,0.1,0.5,0.9,6.8,1.2,9.0,2.5,18.7,0.4,2.8,52.8,173.7,37.6,68.6,10.8,3.568,2.4,17.8,2.3,16.9,3.4,25.7,12.5,93.7,3.8,28.1,7.9,58.7,0.3,2.5,2.7,20.5,59.0,441.0,16.4,122.9,13.1,97.9,11.5,85.777
campeche,43.6,391.0,2.6,32.5,291.7,2.2,11.1,99.2,3.6,32.1,287.5,2.0,4.0,35.9,20.4,182.6,18.8,168.5,12.5,111.8,60.1,539.5,19.5,175.3,38.8,348.1,24.3,217.6,19.2,172.2,47.6,426.8,2.6,0.19,3.6,0.07,0.71,0.31,10.3,6.2,33.7,11.2,23.6,15.0,0.5,8.1,18.0,28.8,106.5,17.3,43.9,54.0,484.2,29.6,265.5,6.6,59.1,0.1,0.6,3.7,33.0,0.7,5.9,1.6,14.4,0.1,1.0,62.7,277.0,48.2,83.3,15.9,9.047,2.5,22.1,1.2,10.4,2.5,22.4,16.5,148.3,10.4,93.5,8.1,73.1,1.0,8.6,30.6,274.6,51.9,465.2,23.9,214.1,14.3,128.3,10.0,89.31
coahuila,30.2,885.8,1.9,26.4,776.1,1.7,3.7,109.7,3.5,24.2,710.7,1.5,11.1,325.3,34.5,1014.1,12.5,366.7,15.6,457.1,34.2,1004.0,5.0,146.1,5.6,163.8,22.0,646.8,11.8,346.4,41.3,1211.1,1.9,0.1,3.5,0.02,0.66,0.2,12.7,16.1,35.0,6.8,6.4,23.0,0.503,7.5,54.9,17.6,221.2,11.7,90.6,23.5,690.7,60.0,1762.7,6.4,188.4,0.4,12.6,0.4,11.2,2.1,62.4,2.2,66.0,2.2,64.6,35.8,440.2,28.4,214.2,8.6,17.545,0.8,22.8,0.5,13.5,0.6,18.8,3.7,107.3,3.4,99.8,2.8,81.8,0.2,6.7,0.7,22.0,59.4,1744.5,18.6,544.6,12.0,352.0,10.0,294.817
colima,34.3,244.9,2.1,30.9,220.6,1.9,3.4,24.4,3.6,33.2,236.6,1.7,6.4,45.3,26.1,186.2,17.5,124.5,12.7,90.5,51.9,370.2,10.9,77.8,9.6,68.4,25.4,181.5,10.6,75.4,40.7,290.3,2.1,0.12,3.6,0.02,0.67,0.23,13.4,8.3,39.6,9.2,8.8,20.7,0.457,7.8,13.4,24.9,78.7,16.9,32.4,41.9,299.0,40.2,286.8,6.5,46.1,0.6,4.0,1.2,8.5,1.1,8.0,1.6,11.7,0.9,6.2,54.4,179.5,41.0,66.3,11.3,6.132,4.4,31.5,0.8,5.9,1.1,7.9,7.9,56.4,0.7,5.3,0.8,6.0,0.2,1.5,8.9,63.5,57.3,408.4,17.3,123.3,13.4,95.8,12.0,85.68
chiapas,76.2,3961.0,2.8,44.4,2306.6,2.1,31.8,1654.4,3.7,15.3,793.3,2.1,2.5,129.8,6.0,313.5,30.7,1593.9,20.7,1073.4,82.8,4301.4,26.9,1398.3,57.4,2982.4,27.5,1430.5,48.5,2518.6,78.7,4090.8,2.8,0.36,3.7,0.2,0.73,0.56,12.5,7.7,32.8,11.6,23.9,11.5,0.517,12.3,195.2,48.2,890.4,34.8,508.3,67.0,3484.3,9.7,505.6,3.6,186.6,1.3,69.0,0.8,41.1,0.2,9.2,0.9,45.4,0.7,35.8,83.6,1753.5,72.5,833.2,20.7,65.234,8.9,461.3,0.7,34.2,4.8,251.0,20.4,1061.2,26.4,1373.7,10.2,530.6,0.6,29.4,44.4,2308.4,43.5,2262.4,28.9,1504.6,18.2,946.5,9.3,484.058
chihuahua,34.4,1265.5,2.1,28.9,1065.2,1.7,5.4,200.3,4.1,25.8,949.5,1.5,12.0,440.5,27.8,1024.4,17.3,635.1,14.6,536.2,43.4,1595.8,7.9,291.5,7.9,292.2,18.7,688.0,17.9,657.0,46.4,1706.0,2.1,0.12,4.1,0.04,0.67,0.23,16.2,11.7,35.9,8.3,8.7,19.3,0.458,10.5,95.4,22.9,367.3,17.7,172.5,31.5,1157.4,50.9,1872.9,4.4,161.0,0.1,5.1,0.3,9.3,1.4,52.6,2.3,83.0,4.4,162.0,46.0,677.8,37.0,372.0,15.7,43.745,2.1,76.5,0.7,26.6,0.6,21.8,5.4,198.1,4.5,165.1,5.9,217.1,2.6,94.4,1.9,71.0,66.0,2429.8,15.3,562.1,8.8,325.1,9.9,362.899
distrito federal,28.4,2502.5,1.8,26.7,2351.9,1.7,1.7,150.5,3.2,28.0,2465.5,1.6,8.0,706.2,35.7,3146.0,8.8,779.5,19.9,1759.1,46.3,4081.8,5.4,480.2,1.7,145.7,11.7,1031.5,8.2,723.3,36.4,3208.6,1.8,0.08,3.2,0.01,0.65,0.18,9.6,19.1,47.3,7.5,2.0,14.4,0.507,5.5,90.2,10.8,487.6,8.5,201.7,24.9,2195.3,40.4,3561.0,14.9,1314.9,0.0,2.7,0.8,68.1,1.8,161.8,2.4,215.5,1.8,154.4,48.6,1860.7,37.2,1029.2,9.4,85.793,0.3,24.9,0.9,78.8,0.5,47.1,4.5,398.1,1.2,109.3,0.5,43.1,0.0,0.0,0.2,14.9,76.9,6783.0,11.4,1005.6,8.2,723.0,3.5,308.504
durango,43.5,761.2,1.9,38.2,668.2,1.7,5.3,93.0,3.4,24.3,425.4,1.6,10.5,183.6,21.8,381.1,15.5,271.5,16.5,289.7,51.3,897.7,5.8,100.9,13.0,227.4,19.9,349.3,20.7,363.4,53.9,944.9,1.9,0.14,3.4,0.03,0.66,0.29,12.1,12.2,41.2,5.6,10.9,18.0,0.446,7.4,34.0,24.7,175.7,13.0,61.7,40.9,715.9,37.9,663.1,10.1,176.8,0.1,2.5,0.7,11.6,0.4,6.6,1.6,28.2,0.1,2.3,53.6,352.1,43.1,209.4,9.9,13.388,1.7,29.2,0.9,16.3,0.3,5.7,3.7,64.9,2.3,40.5,8.5,149.6,0.5,9.2,5.0,87.7,64.0,1120.3,16.1,281.8,10.7,188.2,9.2,161.024
