ciclo,ramo,unidad_resp,clave,nombre_actual,nombre_ant,ano_inicio,ano_oper,derecho_bienestar_directo,derecho_bienestar_indirecto,areas_atencion,objetivo,eje_alineado,tema_alineado,indicador_alineado,programa_alineado,sexo,etapa,grupos,ambito,apoyos,modo_apoyos,unidad_territorial,entidades,difinida_pp,medida_pp,cuantific_pp,definida_po,medida_po,cuantific_po,definida_pa,medida_pa,cuantific_pa,cobertura,eficiencia,presupuesto_original,presupuesto_modificado,presupuesto_ejercido
2014,hacienda y credito publico,"agroasemex, s.a.",s001,programa de subsidio a la prima del seguro agropecuario,programa de subsidio a la prima del seguro agropecuario,2001,2014,bienestar economico,NA,campo y desarrollo rural,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,financiamiento interno al sector privado,"fomentar la inclusion, educacion, competencia y transparencia de los sistemas financiero, asegurador y de pensiones para incrementar su penetracion y cobertura, a la vez que mantengan su solidez y seguridad.",NA,NA,productores agricolas y/o agropecuarios,rural,subsidios,monetario,entidades federativas,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,NA,NA,NA,1,"productores agropecuarios, personas fisicas y morales",43389.0,1,"productores agropecuarios, personas fisicas y morales",43212.0,NA,99.59,1308.79,1919.66,1919.66
2014,hacienda y credito publico,instituto nacional de las mujeres,s010,fortalecimiento a la transversalidad de la perspectiva de genero,fortalecimiento a la transversalidad de la perspectiva de genero,2010,2014,no discriminacion,NA,igualdad de oportunidades,ampliar el acceso a una sociedad equitativa e incluyente,la vinculacion es a un programa transversal,la vinculacion es a un programa transversal,indice de avance en la armonizacion legislativa por entidad federativa,varios objetivos del programa transversal,ambos,toda la poblacion,dependencias estatales,ambos,financiamiento de proyectos sociales,monetario,entidades federativas | municipios,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,dependencias estatales,32,1,dependencias estatales,32.0,1,imef,32.0,100.0,100.0,401.82,390.36,390.3
2014,hacienda y credito publico,"agroasemex, s.a.",s172,programa de apoyo a los fondos de aseguramiento agropecuario,programa de apoyo a los fondos de aseguramiento agropecuario,2004,2014,bienestar economico,NA,campo y desarrollo rural,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,financiamiento interno al sector privado,"fomentar la inclusion, educacion, competencia y transparencia de los sistemas financiero, asegurador y de pensiones para incrementar su penetracion y cobertura, a la vez que mantengan su solidez y seguridad.",NA,NA,fondos de aseguramiento agropecuario | organismos integradores,rural,subsidios,monetario,entidades federativas,baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | hidalgo | jalisco | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | zacatecas,1,fondos y organismos integradores,415,1,fondos y organismos integradores,415.0,1,fondos y organismos integradores,306.0,73.73,73.73,151.3,112.28,112.28
2014,hacienda y credito publico,comision nacional para el desarrollo de los pueblos indigenas,s178,programa de apoyo a la educacion indigena,programas albergues escolares indigenas (paei),1972,2014,educacion,no discriminacion,comunidades y pueblos indigenas,garantizar el ejercicio efectivo de los derechos sociales,mexico incluyente,transitar hacia una sociedad equitativa e incluyente,tasa de abandono escolar en educacion primaria indigena,"incrementar el acceso a la alimentacion, la salud y la educacion a los pueblos indigenas",ambos,infancia,estudiantes,ambos,albergues,ambos,localidades,baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | veracruz | yucatan | zacatecas,1,personas,805249,1,personas,446891.0,1,personas,77604.0,9.64,17.37,1040.29,963.59,963.59
2014,hacienda y credito publico,comision nacional para el desarrollo de los pueblos indigenas,s179,programa de infraestructura indigena,programa de infraestructura basica para la atencion de los pueblos indigenas (pibai),2004,2014,no discriminacion,bienestar economico,infraestructura social basica,inversion en infraestructura,mexico incluyente,transitar hacia una sociedad equitativa e incluyente,porcentaje de poblacion indigena que padece carencia por acceso a servicios basicos en lavivienda a nivel nacional,proveer de vivienda e infraestructura de servicios con un enfoque de sustentabilidad a las comunidades indigenas,ambos,toda la poblacion,localidades de alta y muy alta marginacion,ambos,infraestructura,no monetario,localidades,baja california | baja california sur | campeche | chiapas | chihuahua | colima | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tlaxcala | veracruz | yucatan,1,personas,12685049,1,personas,982300.0,1,personas,1199364.0,9.45,122.1,7141.39,6701.1,6701.1
2014,hacienda y credito publico,"agroasemex, s.a.",s199,programa de seguro para contingencias climatologicas,programa de seguro para contingencias climatologicas,2005,2014,bienestar economico,NA,campo y desarrollo rural,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,financiamiento interno al sector privado,"fomentar la inclusion, educacion, competencia y transparencia de los sistemas financiero, asegurador y de pensiones para incrementar su penetracion y cobertura, a la vez que mantengan su solidez y seguridad.",NA,NA,entidades federativas,rural,subsidios,monetario,entidades federativas,guerrero | jalisco | nuevo leon | oaxaca | sonora,1,municipios,NA,1,municipios,NA,1,municipios,398.0,NA,NA,93.7,93.7,93.7
2014,hacienda y credito publico,comision nacional para el desarrollo de los pueblos indigenas,s249,programa para el mejoramiento de la produccion y la productividad indigena,programa fondos regionales indigenas | programa organizacion productiva para mujeres indigenas | programa turismo alternativo en zonas indigenas | programa coordinacion para el apoyo a la produccion indigena.,2014,2014,trabajo,bienestar economico,financiamiento para proyectos productivos,ampliar el acceso a una sociedad equitativa e incluyente,mexico incluyente,transitar hacia una sociedad equitativa e incluyente,NA,mejorar el ingreso monetario y no monetario de la poblacion indigena a traves del impulso a proyectos productivos,ambos,personas adultas,localidades de alta y muy alta marginacion,rural,financiamiento de proyectos productivos,monetario,localidades,aguascalientes | baja california | baja california sur | campeche | chiapas | chihuahua | coahuila de zaragoza | colima | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,personas,5429220,1,personas,82904.0,1,personas,47970.0,0.88,57.86,1284.06,1298.16,1298.16
2014,hacienda y credito publico,"banco del ahorro nacional y servicios financieros, s.n.c.",u010,actividades orientadas a otorgar apoyos para la inclusion financiera y el fortalecimiento del sector de ahorro y credito popular y cooperativo,apoyos para la inclusion financiera y la bancarizacion,2009,2014,bienestar economico,NA,otro: inclusion financiera,promover el desarrollo economico nacional,mexico prospero,democratizar el acceso al financiamiento de proyectos con potencial de crecimiento,ahorro financiero interno,"fomentar la inclusion, educacion, competencia y transparencia de los sistemas financiero, asegurador y de pensiones para incrementar su penetracion y cobertura, a la vez que mantengan su solidez y seguridad.",ambos,personas adultas,grupos vulnerables,rural,subsidios,monetario,localidades,campeche | chiapas | chihuahua | colima | distrito federal | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | tabasco | tamaulipas | tlaxcala | veracruz | yucatan | zacatecas,1,personas,2261770,1,personas,6e4,1,personas,65182.0,2.88,108.64,50.0,47.39,47.39
2014,hacienda y credito publico,comision nacional para el desarrollo de los pueblos indigenas,u011,programa de derechos indigenas,programa promocion de convenios en materia de justicia (ppcmj) | programa de fomento y desarrollo de las culturas indigenas (pfdci) | proyecto para la atencion a indigenas desplazados (indigenas urbanos y migrantes desplazados) |  manejo y conservacion de recursos naturales en zonas indigenas | excarcelacion de presos indigenas.,2014,2014,no discriminacion,no discriminacion,comunidades y pueblos indigenas,ampliar el acceso a una sociedad equitativa e incluyente,mexico incluyente,transitar hacia una sociedad equitativa e incluyente,porcentaje de entidades federativas que en sus constituciones y legislaciones establecen londerechos indigenas.,"impulsar el reconocimiento, vigencia de derechos y el acceso a la justicia de los pueblos indigenas",ambos,toda la poblacion,grupos vulnerables,ambos,subsidios,ambos,NA,baja california | campeche | chiapas | chihuahua | distrito federal | durango | guanajuato | guerrero | hidalgo | jalisco | mexico | michoacan de ocampo | morelos | nayarit | nuevo leon | oaxaca | puebla | queretaro | quintana roo | san luis potosi | sinaloa | sonora | tabasco | veracruz | yucatan,1,indigenas,11100000,1,indigenas,301718.0,1,indigenas,292267.0,2.63,96.87,236.84,234.22,234.22
2014,"agricultura, ganaderia, desarrollo rural, pesca y alimentacion",colegio superior agropecuario del estado de guerrero,e001,desarrollo y aplicacion de programas educativos a nivel medio superior,desarrollo y aplicacion de programas educativos a nivel medio superior,2006,2014,educacion,NA,sector agropecuario | sector pesquero | sector silvicola | sector acuicola,impulsar la competitividad y fortalecer el mercado interno,mexico prospero,construir un sector agropecuario y pesquero productivo que garantice la seguridad alimentaria del pais,productividad laboral en el sector agropecuario y pesquero,"impulsar la productividad en el sector agroalimentario mediante inversion en capital fisico, humano y tecnologico que garantice la seguridad alimentaria.",ambos,jovenes,estudiantes,rural,becas,ambos,entidades federativas,guerrero,1,estudiantes,209,1,estudiantes,163.0,1,estudiantes,95.0,45.45,58.28,720.28,700.1,700.1
